week,rank,title,artist,spotify_id,danceability,energy,tempo,valence,speechiness,acousticness,instrumentalness,liveness,loudness,key,mode,genre
2025-01-05,32,Bed Chem,Sabrina Carpenter,3hppjCoD5ruwTaoyJ0J5Wh,0.738,0.73,95.015,0.69,0.045,0.0668,0.0,0.102,-5.97,11.0,0.0,pop
2025-01-05,33,Sailor Song,Gigi Perez,2262bWmqomIaJXwCRHr13j,0.494,0.413,94.938,0.273,0.0254,0.682,6.72e-05,0.193,-10.432,11.0,1.0,
2025-01-05,34,Lies Lies Lies,Morgan Wallen,1KL0yUBT1U2PfVUWIhWL7l,,,,,,,,,,,,country
2025-01-05,35,Wildflower,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h,0.467,0.247,148.101,0.126,0.0431,0.612,0.000271,0.17,-12.002,6.0,0.0,
2025-01-05,36,Pink Pony Club,Chappell Roan,6393yGahSJ9slVdOwSxOVR,0.61,0.65,106.719,0.507,0.0474,0.399,0.0,0.11,-6.199,6.0,1.0,
2025-01-05,37,Like Him,"Tyler, the Creator Featuring Lola Young",72NMPuJCRsOUoXQJdzVfdo,0.778,0.58,92.986,0.48,0.0425,0.452,0.000677,0.105,-7.26,2.0,0.0,v-pop
2025-01-05,38,I Never Lie,Zach Top,3t6gUcGYLrUuqwpXjOFWQc,0.782,0.641,107.997,0.522,0.0275,0.332,0.00923,0.108,-6.431,3.0,1.0,country
2025-01-05,39,Liar,Jelly Roll,0llPOBVoJYDAtdmVlNE41A,0.645,0.767,114.011,0.613,0.0299,0.0405,0.0,0.092,-5.202,1.0,1.0,country hip hop
2025-01-05,40,I'm Gonna Love You,Cody Johnson & Carrie Underwood,08wyXJO5ZcqloLYbpufenQ,0.552,0.494,133.91,0.312,0.0318,0.358,2.94e-05,0.108,-6.262,3.0,0.0,texas country
2025-01-05,41,Scorsese Baby Daddy,SZA,2E7a96qey4AzSOdK6H21vS,0.746,0.728,103.991,0.795,0.0299,0.464,2.01e-05,0.103,-6.75,4.0,1.0,r&b
2025-01-05,42,Tu Boda,Oscar Maydon & Fuerza Regida,1cOboCuWYI2osTOfolMRS6,0.694,0.651,112.648,0.471,0.0784,0.496,1.36e-05,0.0787,-6.968,6.0,1.0,corrido
2025-01-05,43,"I Love You, I'm Sorry",Gracie Abrams,51rfRCiUSvxXlCSCfIztBy,0.53,0.406,115.94,0.338,0.033,0.656,0.0,0.133,-7.507,10.0,1.0,
2025-01-05,44,It's Ok I'm Ok,Tate McRae,24XihnoVPWXlKJ4BgXqjVM,0.754,0.514,114.997,0.363,0.0471,0.0257,3.98e-05,0.0808,-7.721,1.0,0.0,
2025-01-05,45,4x4xU,Lainey Wilson,2z865bsdfckaBVck8MSAm8,0.579,0.727,142.129,0.465,0.0281,0.0989,1.74e-06,0.18,-5.676,7.0,1.0,country
2025-01-05,46,No One Noticed,The Marias,3siwsiaEoU4Kuuc9WKMUy5,0.705,0.339,97.989,0.457,0.0278,0.552,0.0814,0.12,-10.612,7.0,1.0,bedroom pop
2025-01-05,47,Good News,Shaboozey,54p6vNJwGkt4FTaM8SCsxt,0.572,0.535,161.794,0.414,0.0391,0.471,3.61e-06,0.0902,-7.493,8.0,1.0,
2025-01-05,48,Indigo,Sam Barber Featuring Avery Anna,1o6cYDMHvKOfizi4d9Lqxr,0.593,0.325,110.068,0.442,0.0296,0.957,0.219,0.286,-11.214,6.0,1.0,v-pop
2025-01-05,49,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,5QMrH5nszZZR3nefIj6Mar,0.31,0.303,148.419,0.208,0.0344,0.527,0.0,0.0436,-10.345,1.0,1.0,musicals
2025-01-05,50,Loco,Neton Vega,4eLDmhsJW3JoZTXCAozHor,0.849,0.708,91.981,0.636,0.0686,0.0741,0.00768,0.139,-5.502,1.0,1.0,corrido
2025-01-05,51,Drive,SZA,2qYbtIf8dRkBkKIcZVGFDq,0.66,0.32,136.002,0.526,0.0467,0.955,2.81e-05,0.0971,-12.591,11.0,1.0,r&b
2025-01-05,52,Que Pasaria...,Rauw Alejandro & Bad Bunny,0l0vcZMU7AOeQmUIREoI2U,0.833,0.563,105.008,0.343,0.204,0.528,1.27e-05,0.139,-5.593,4.0,0.0,reggaeton
2025-01-05,53,Think I'm In Love With You,Chris Stapleton,3Gn1zuHNLtGuGEOXwq0k7e,,,,,,,,,,,,country
2025-01-05,54,Guy For That,Post Malone Featuring Luke Combs,6r5o9yIc16ZvymXUKJQ1yy,0.723,0.542,139.972,0.391,0.0542,0.9,0.0454,0.131,-9.705,7.0,1.0,v-pop
2025-01-05,55,Dancing In The Flames,The Weeknd,7z7kvUQGwlC6iOl7vMuAr9,0.552,0.73,116.875,0.162,0.0381,0.0011,0.0,0.0837,-6.203,1.0,1.0,
