week,rank,title,artist,spotify_id
2025-01-05,66,No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz
2025-01-05,67,Empty Out Your Pockets,Juice WRLD,2QxekHjOYDnzNO5w8hu2D9
2025-01-05,68,Dos Dias,Tito Double P & Peso Pluma,5lKFO0PrOC9jmOlPEdjHsL
2025-01-05,69,Close To You,Gracie Abrams,5wbg8kepMFoMzHOEuxiI0q
2025-01-05,70,Popular,Ariana Grande,3i8fIJNV0yuC4kXT3SkVBZ
2025-01-05,71,Crybaby,SZA,1g7pFO1WtclKCuIQiS8sNM
2025-01-05,72,Wacced Out Murals,Kendrick Lamar,5gOfC9UzZQzTyShqPMrpjT
2025-01-05,73,Diet Pepsi,Addison Rae,6ouhsRJ7gExB7LCYjITk4Y
2025-01-05,74,Apple,Charli xcx,1juBRo49adrKPIJDdOf6zt
2025-01-05,75,Boys Back Home,Dylan Marlowe & Dylan Scott,1hgINxfKQlJOikzd9skvC2
2025-01-05,76,25,Rod Wave,0U60hgxzGit7juEuHul2y3
2025-01-05,77,Kitchen,SZA,3VPeA7IW68QRNTfgzb6biZ
2025-01-05,78,Peekaboo,Kendrick Lamar Featuring AzChike,6g6W3pMAFbp2FS1QCijkpM
2025-01-05,79,Burning Down,Alex Warren,3diSxgK7bRIZzqu5IqFgd1
2025-01-05,80,Disease,Lady Gaga,19KlZwqlT3fguP2BeHF1Q1
2025-01-05,81,Shake Dat Ass (Twerk Song),BossMan Dlow,6s1O3pFjN8aDUnooppKDmP
2025-01-05,82,Gang Baby,NLE Choppa,77ofS4oV1vH7Bhaz3dvyxe
2025-01-05,83,Khe?,Rauw Alejandro & Romeo Santos,1YYfyJ2yCvGFCxwjsIqEK9
2025-01-05,84,Brokey,Latto,1JF8LkQWZ8grXb2emqrNKn
2025-01-05,85,Rosones,Tito Double P,0LTwdL5yZ6YOTEGUQPFuSN
2025-01-05,86,Juno,Sabrina Carpenter,0w1qp04v2zehJXctW0JPjy
2025-01-05,87,Nadie,Tito Double P,7sd6zMrgGpEa7NkQm9TRrg
2025-01-05,88,What Is This Feeling?,Ariana Grande & Cynthia Erivo,7eGuPhpdS8sBjPJNuAShUX
2025-01-05,89,El Club,Bad Bunny,0iKo4pNNjHHdKUcFARlfCa
2025-01-05,90,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",5C1O3fpMsiisJpHiB1uuDf
2025-01-05,91,Pitorro de Coco,Bad Bunny,14QaXYIK3K3QPtezqxRRPN
2025-01-05,92,The Largest,BigXthaPlug,3neOwym9kfYsM1QWaR77C1
2025-01-05,93,Wondering Why,The Red Clay Strays,1HbzxLqpNVPdiBXvpC7Ovb
2025-01-05,94,Ends Of The Earth,Ty Myers,6nd49XfTkJQI0rI9fnJIpy
2025-01-05,95,Chill Baby,SZA,1g7pFO1WtclKCuIQiS8sNM
2025-01-05,96,Holy Smokes,Bailey Zimmerman,0eNQPUVENuR95kC7dLHTSZ
2025-01-05,97,High Road,Zach Bryan,4CcozggmhXmndssEDH6YHR
2025-01-05,98,On One Tonight,Gunna,6EUcP55GlbmsmCzfL2vxtZ
2025-01-05,99,St. Chroma,"Tyler, the Creator Featuring Daniel Caesar",72NMPuJCRsOUoXQJdzVfdo
2025-01-05,100,Cowboy Songs,George Birge,6mXI5MGSfWzqwYXHpxKfnc
2025-01-12,1,Die With A Smile,Lady Gaga & Bruno Mars,2plbrEY59IikOBgBGLjaoe
2025-01-12,2,A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf
2025-01-12,3,Birds Of A Feather,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB
2025-01-12,4,Smile,Morgan Wallen,3MJ6lFNV12FSHAOzTzkwxz
2025-01-12,5,APT.,ROSE & Bruno Mars,5vNRhkKd0yEAg8suGBpjeY
2025-01-12,6,Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk
2025-01-12,7,Luther,Kendrick Lamar & SZA,45J4avUb9Ni0bnETYaYFVJ
2025-01-12,8,That's So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad
