date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2024-09-16,50,El Final De Nuestra Historia,La Arrolladora Banda El Limón De Rene Camacho,31REg67eoHJSvMLUcEmGNj,61,197280,0,284VuwH1jFbRK08Nnz41uk,2012-01-01,"banda, norteño, grupera",banda
2024-09-17,48,Belleza De Cantina,Cardenales De Nuevo León,4ZplewvZRLFcfBa5uyBbhd,76,183946,0,4knvBWQwoePhytbeXYTGc0,2002-01-01,"norteño, banda, cumbia norteña, grupera, ranchera, corrido",norteño
2024-09-18,48,México En La Piel,Luis Miguel,5BPq1UQa1NSN647R6IzD3n,68,209213,0,41VfVz6sKvbm1yCbqAlwfM,2005-09-06,"mariachi, bolero, latin pop, ranchera, villancicos",mariachi
2024-09-20,46,Después De La 1,"Cris MJ, FloyyMenor, LOUKI",6PhRhocBXP4y7NpciGmzra,77,177600,1,2lIzIH2mQQ0ItgkJKefQMp,2024-09-12,"reggaeton chileno, chilean trap, chilean mambo, reggaeton",reggaeton chileno
2024-09-26,47,Abrázame,"Ángela Aguilar, Felipe Botello y El Sonoro Rugir",5RvmmRCoZY1Yupl3PXgZm4,71,199200,0,2YZnqChmcKcsTS6tTg0fuL,2024-08-30,"mariachi, ranchera, banda, música mexicana",mariachi
2024-09-28,35,Ya No Pienso en Ti - Spotify Singles,José José,0MlstFQR7Ak6k60xelYcz8,61,187350,0,1Hi1oyOSYXYCmNDtoW6SzA,2024-09-25,"bolero, bacardi",bolero
2024-10-13,46,Abran Paso,"Alemán, Gera MX",5ryLHMXzsxUdtThQ9gyxXr,57,236002,0,4pMFJL9AAor8UG0uAkIbl5,2024-10-11,"mexican hip hop, latin hip hop, electro corridos",mexican hip hop
2024-10-14,46,Hecha Pa' Mí,Grupo Frontera,1uGUbgZuO1kD1JZ0UeFupN,72,195845,0,3Z9jjBDBjKUkf7CXPm5aSF,2024-10-03,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2024-10-22,43,APT.,"ROSÉ, Bruno Mars",5vNRhkKd0yEAg8suGBpjeY,85,169917,0,2IYQwwgxgOIn7t3iF6ufFD,2024-10-18,k-pop,k-pop
2024-10-27,49,Siento que merezco más,LATIN MAFIA,4Z6pPinNzkGtbgAlE88263,59,165720,0,0DMDbZtZT028siJ0GEdLrQ,2024-10-24,latin r&b,latin r&b
2024-11-03,48,Como Pacman,"Alemán, Gera MX",5z9OwCciXDZyvlZ001pJN8,52,148152,0,64esOhbm4ceNKRyjm4iQhj,2024-11-01,"mexican hip hop, latin hip hop, electro corridos",mexican hip hop
2024-11-08,50,Cero Empatía,Julión Álvarez y su Norteño Banda,18OMTIWpHGvhTcQjg83CtQ,71,189524,0,3UhsBsZzqW0rktyx1rfwQE,2024-10-24,"banda, norteño, grupera, corrido",banda
2024-11-10,40,EN MI MUNDO,"Jasiel Nuñez, Peso Pluma",0lQogzZgV4XwuUTasz3nPL,59,307565,0,0OrStwHqaIFS8JdPSwApqA,2024-11-07,"corridos tumbados, corrido, sad sierreño, corridos bélicos, música mexicana",corridos tumbados
2024-11-17,7,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",0l0vcZMU7AOeQmUIREoI2U,72,191018,1,0aX0UXrHG2ceYIxTQcqJdA,2024-11-15,"reggaeton, urbano latino, trap latino, latin",reggaeton
2024-11-17,24,Tú Con Él,Rauw Alejandro,2eQFYGegTZaObk2kuBz83Z,69,289131,0,0aX0UXrHG2ceYIxTQcqJdA,2024-11-15,"reggaeton, urbano latino, trap latino, latin",reggaeton
2024-11-17,36,Déjame Entrar,Rauw Alejandro,5tZgkV8FTe3rtl8OcSeQAb,66,254705,1,0aX0UXrHG2ceYIxTQcqJdA,2024-11-15,"reggaeton, urbano latino, trap latino, latin",reggaeton
2024-11-17,37,Revolú,"Rauw Alejandro, Feid",4lqJsJd7kqWVvamQ4aFHA8,67,215511,1,0aX0UXrHG2ceYIxTQcqJdA,2024-11-15,"reggaeton, urbano latino, trap latino, latin",reggaeton
2024-11-17,39,Khé?,"Rauw Alejandro, Romeo Santos",1YYfyJ2yCvGFCxwjsIqEK9,67,206066,0,0aX0UXrHG2ceYIxTQcqJdA,2024-11-15,"reggaeton, urbano latino, trap latino, latin",reggaeton
2024-11-19,45,AMIRI,"Jasiel Nuñez, Peso Pluma, Tito Double P",3dpBkXMbRdDQ6ZhcxFufQp,71,123096,1,0OrStwHqaIFS8JdPSwApqA,2024-11-07,"corridos tumbados, corrido, sad sierreño, corridos bélicos, música mexicana",corridos tumbados
2024-11-19,46,Vibra Perfecta,Julión Álvarez y su Norteño Banda,25anKrtqXPngMi3IoF5UhC,74,183315,0,12gF2dVVtalHzmn5z9wNiy,2024-10-24,"banda, norteño, grupera, corrido",banda
2024-11-27,49,¿Qué Te Parece?,"Grupo Frontera, Oscar Maydon",6oCQOBXMHc1z2JRx1Dv6tG,68,182323,0,4wJ3OuXAYBT7KgZpQoMMG8,2024-11-21,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
