week,rank,title,artist
2025-02-09,21,Taste,Sabrina Carpenter
2025-02-09,22,30 For 30,SZA With Kendrick Lamar
2025-02-09,23,"Good Luck, Babe!",Chappell Roan
2025-02-09,24,Too Sweet,Hozier
2025-02-09,25,Stargazing,Myles Smith
2025-02-09,26,Baile Inolvidable,Bad Bunny
2025-02-09,27,Denial Is A River,Doechii
2025-02-09,28,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-02-09,29,Abracadabra,Lady Gaga
2025-02-09,30,Smile,Morgan Wallen
2025-02-09,31,High Road,Koe Wetzel & jessie murph
2025-02-09,32,Wildflower,Billie Eilish
2025-02-09,33,Sports Car,Tate McRae
2025-02-09,34,Fat Juicy & Wet,Sexyy Red & Bruno Mars
2025-02-09,35,Sailor Song,Gigi Perez
2025-02-09,36,Who,Jimin
2025-02-09,37,Nuevayol,Bad Bunny
2025-02-09,38,Bed Chem,Sabrina Carpenter
2025-02-09,39,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-02-09,40,No One Noticed,The Marias
2025-02-09,41,Again,Fetty Wap
2025-02-09,42,BMF,SZA
2025-02-09,43,Sao Paulo,The Weeknd & Anitta
2025-02-09,44,Liar,Jelly Roll
2025-02-09,45,Wake Me Up,The Weeknd & Justice
2025-02-09,46,Baptized In Fear,The Weeknd
2025-02-09,47,Please Please Please,Sabrina Carpenter
2025-02-09,48,Open Hearts,The Weeknd
2025-02-09,49,Loco,Neton Vega
2025-02-09,50,I Never Lie,Zach Top
2025-02-09,51,Tweaker,GELO
2025-02-09,52,Residuals,Chris Brown
2025-02-09,53,Reflections Laughing,"The Weeknd, Travis Scott & Florence + the Machine"
2025-02-09,54,4x4xU,Lainey Wilson
2025-02-09,55,Voy A Llevarte Pa PR,Bad Bunny
2025-02-09,56,Indigo,Sam Barber Featuring Avery Anna
2025-02-09,57,4X4,Travis Scott
2025-02-09,58,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-02-09,59,EOO,Bad Bunny
2025-02-09,60,Enjoy The Show,The Weeknd & Future
2025-02-09,61,Bad Dreams,Teddy Swims
2025-02-09,62,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-02-09,63,Good News,Shaboozey
2025-02-09,64,Think I'm In Love With You,Chris Stapleton
2025-02-09,65,Niagara Falls,The Weeknd
2025-02-09,66,I Ain't Sayin',Jordan Davis
2025-02-09,67,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-02-09,68,The Abyss,The Weeknd & Lana Del Rey
2025-02-09,69,Take Me Back To LA,The Weeknd
2025-02-09,70,El Club,Bad Bunny
2025-02-09,71,Given Up On Me,The Weeknd
2025-02-09,72,Am I Okay?,Megan Moroney
2025-02-09,73,Guy For That,Post Malone Featuring Luke Combs
2025-02-09,74,Opening Night,The Weeknd
2025-02-09,75,Diet Pepsi,Addison Rae
2025-02-09,76,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-02-09,77,Tu Boda,Oscar Maydon & Fuerza Regida
2025-02-09,78,Are You Even Real,Teddy Swims & GIVEON
2025-02-09,79,Heart Of A Woman,Summer Walker
2025-02-09,80,Blue Jean Baby,Zach Bryan
2025-02-09,81,Peekaboo,Kendrick Lamar Featuring AzChike
2025-02-09,82,I Can't Wait To Get There,The Weeknd
2025-02-09,83,The Largest,BigXthaPlug
2025-02-09,84,7 Dias,Gabito Ballesteros & Tito Double P
2025-02-09,85,Haunted,Kane Brown With Jelly Roll
2025-02-09,86,No Pole,Don Toliver
2025-02-09,87,Weltita,Bad Bunny & Chuwi
2025-02-09,88,Weren't For The Wind,Ella Langley
2025-02-09,89,Help Me,Real Boston Richey
2025-02-09,90,Headlock,Imogen Heap
2025-02-09,91,Hey Now,Kendrick Lamar Featuring Dody6
2025-02-09,92,Nissan Altima,Doechii
2025-02-09,93,Kloufrens,Bad Bunny
2025-02-09,94,Perfumito Nuevo,Bad Bunny & RaiNao
2025-02-09,95,The Days,CHRYSTAL
2025-02-09,96,Love Hangover,JENNIE & Dominic Fike
2025-02-09,97,Rosones,Tito Double P
2025-02-09,98,Nadie,Tito Double P
2025-02-09,99,Forever Young,"David Guetta, Alphaville & Ava Max"
2025-02-09,100,Worst Way,Riley Green
2025-02-16,1,Not Like Us,Kendrick Lamar
2025-02-16,2,Luther,Kendrick Lamar & SZA
2025-02-16,3,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-02-16,4,Die With A Smile,Lady Gaga & Bruno Mars
2025-02-16,5,Squabble Up,Kendrick Lamar
2025-02-16,6,Birds Of A Feather,Billie Eilish
2025-02-16,7,APT.,ROSE & Bruno Mars
2025-02-16,8,A Bar Song (Tipsy),Shaboozey
2025-02-16,9,Pink Pony Club,Chappell Roan
2025-02-16,10,30 For 30,SZA With Kendrick Lamar
2025-02-16,11,Beautiful Things,Benson Boone
2025-02-16,12,Lose Control,Teddy Swims
2025-02-16,13,Abracadabra,Lady Gaga
2025-02-16,14,All The Stars,Kendrick Lamar & SZA
2025-02-16,15,That's So True,Gracie Abrams
2025-02-16,16,Timeless,The Weeknd & Playboi Carti
2025-02-16,17,Love Somebody,Morgan Wallen
2025-02-16,18,Espresso,Sabrina Carpenter
2025-02-16,19,I'm The Problem,Morgan Wallen
2025-02-16,20,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-02-16,21,Denial Is A River,Doechii
2025-02-16,22,Messy,Lola Young
2025-02-16,23,"Good Luck, Babe!",Chappell Roan
2025-02-16,24,Taste,Sabrina Carpenter
2025-02-16,25,DTMF,Bad Bunny
2025-02-16,26,Too Sweet,Hozier
2025-02-16,27,Cry For Me,The Weeknd
2025-02-16,28,Peekaboo,Kendrick Lamar Featuring AzChike
2025-02-16,29,Wildflower,Billie Eilish
2025-02-16,30,Stargazing,Myles Smith
2025-02-16,31,Tweaker,GELO
2025-02-16,32,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-02-16,33,Humble.,Kendrick Lamar
2025-02-16,34,BMF,SZA
2025-02-16,35,High Road,Koe Wetzel & jessie murph
2025-02-16,36,Baile Inolvidable,Bad Bunny
2025-02-16,37,Sailor Song,Gigi Perez
2025-02-16,38,Smile,Morgan Wallen
2025-02-16,39,Bed Chem,Sabrina Carpenter
2025-02-16,40,Who,Jimin
2025-02-16,41,Sports Car,Tate McRae
2025-02-16,42,Liar,Jelly Roll
2025-02-16,43,No One Noticed,The Marias
2025-02-16,44,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-02-16,45,Like That,"Future, Metro Boomin & Kendrick Lamar"
2025-02-16,46,Fat Juicy & Wet,Sexyy Red & Bruno Mars
2025-02-16,47,Please Please Please,Sabrina Carpenter
2025-02-16,48,Nuevayol,Bad Bunny
2025-02-16,49,I Never Lie,Zach Top
2025-02-16,50,4x4xU,Lainey Wilson
2025-02-16,51,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-02-16,52,Loco,Neton Vega
2025-02-16,53,Indigo,Sam Barber Featuring Avery Anna
2025-02-16,54,Residuals,Chris Brown
2025-02-16,55,Twenties,Giveon
2025-02-16,56,Hey Now,Kendrick Lamar Featuring Dody6
2025-02-16,57,Good News,Shaboozey
2025-02-16,58,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-02-16,59,Bad Dreams,Teddy Swims
2025-02-16,60,Voy A Llevarte Pa PR,Bad Bunny
2025-02-16,61,Ordinary,Alex Warren
2025-02-16,62,I Ain't Sayin',Jordan Davis
2025-02-16,63,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
2025-02-16,64,4X4,Travis Scott
2025-02-16,65,EOO,Bad Bunny
2025-02-16,66,Am I Okay?,Megan Moroney
2025-02-16,67,Guy For That,Post Malone Featuring Luke Combs
2025-02-16,68,Born Again,LISA Featuring Doja Cat & RAYE
2025-02-16,69,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-02-16,70,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-02-16,71,Heart Of A Woman,Summer Walker
2025-02-16,72,Diet Pepsi,Addison Rae
2025-02-16,73,Nissan Altima,Doechii
2025-02-16,74,Sao Paulo,The Weeknd & Anitta
2025-02-16,75,Tu Boda,Oscar Maydon & Fuerza Regida
2025-02-16,76,Burning Down,Alex Warren
2025-02-16,77,Wacced Out Murals,Kendrick Lamar
2025-02-16,78,The Largest,BigXthaPlug
2025-02-16,79,No Pole,Don Toliver
2025-02-16,80,Euphoria,Kendrick Lamar
2025-02-16,81,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch"
2025-02-16,82,El Club,Bad Bunny
2025-02-16,83,Headlock,Imogen Heap
2025-02-16,84,Backseat Driver,Kane Brown
2025-02-16,85,Are You Even Real,Teddy Swims & GIVEON
2025-02-16,86,Baptized In Fear,The Weeknd
2025-02-16,87,Worst Way,Riley Green
2025-02-16,88,Guess,Charli xcx Featuring Billie Eilish
2025-02-16,89,Khe?,Rauw Alejandro & Romeo Santos
2025-02-16,90,Mutt,Leon Thomas
2025-02-16,91,Nadie,Tito Double P
2025-02-16,92,Forever Young,"David Guetta, Alphaville & Ava Max"
2025-02-16,93,The Greatest,Billie Eilish
2025-02-16,94,Open Hearts,The Weeknd
2025-02-16,95,Haunted,Kane Brown With Jelly Roll
2025-02-16,96,Push 2 Start,Tyla
2025-02-16,97,Rosones,Tito Double P
2025-02-16,98,Weren't For The Wind,Ella Langley
2025-02-16,99,The Days,CHRYSTAL
2025-02-16,100,Weltita,Bad Bunny & Chuwi
2025-02-23,1,Luther,Kendrick Lamar & SZA
2025-02-23,2,Not Like Us,Kendrick Lamar
2025-02-23,3,Die With A Smile,Lady Gaga & Bruno Mars
2025-02-23,4,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-02-23,5,Squabble Up,Kendrick Lamar
2025-02-23,6,Gimme A Hug,Drake
2025-02-23,7,APT.,ROSE & Bruno Mars
2025-02-23,8,Birds Of A Feather,Billie Eilish
2025-02-23,9,A Bar Song (Tipsy),Shaboozey
2025-02-23,10,Nokia,Drake
2025-02-23,11,Pink Pony Club,Chappell Roan
2025-02-23,12,Lose Control,Teddy Swims
2025-02-23,13,Beautiful Things,Benson Boone
2025-02-23,14,30 For 30,SZA With Kendrick Lamar
2025-02-23,15,All The Stars,Kendrick Lamar & SZA
2025-02-23,16,That's So True,Gracie Abrams
2025-02-23,17,Espresso,Sabrina Carpenter
2025-02-23,18,CN Tower,PARTYNEXTDOOR & Drake
2025-02-23,19,Love Somebody,Morgan Wallen
2025-02-23,20,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-02-23,21,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
2025-02-23,22,Taste,Sabrina Carpenter
2025-02-23,23,I'm The Problem,Morgan Wallen
2025-02-23,24,Timeless,The Weeknd & Playboi Carti
2025-02-23,25,Please Please Please,Sabrina Carpenter
2025-02-23,26,Something About You,PARTYNEXTDOOR & Drake
2025-02-23,27,Busy Woman,Sabrina Carpenter
2025-02-23,28,Messy,Lola Young
2025-02-23,29,Moth Balls,PARTYNEXTDOOR & Drake
2025-02-23,30,Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain"
2025-02-23,31,Deeper,PARTYNEXTDOOR
2025-02-23,32,Denial Is A River,Doechii
2025-02-23,33,Abracadabra,Lady Gaga
2025-02-23,34,Too Sweet,Hozier
2025-02-23,35,Spider-Man Superman,PARTYNEXTDOOR & Drake
2025-02-23,36,"Good Luck, Babe!",Chappell Roan
2025-02-23,37,Crying In Chanel,Drake
2025-02-23,38,Peekaboo,Kendrick Lamar Featuring AzChike
2025-02-23,39,Bed Chem,Sabrina Carpenter
2025-02-23,40,Small Town Fame,Drake
2025-02-23,41,Stargazing,Myles Smith
2025-02-23,42,DTMF,Bad Bunny
2025-02-23,43,Raining In Houston,Drake
2025-02-23,44,Who,Jimin
2025-02-23,45,Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake"
2025-02-23,46,High Road,Koe Wetzel & jessie murph
2025-02-23,47,Brian Steel,Drake
2025-02-23,48,Wildflower,Billie Eilish
2025-02-23,49,BMF,SZA
2025-02-23,50,Baile Inolvidable,Bad Bunny
2025-02-23,51,Liar,Jelly Roll
2025-02-23,52,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-02-23,53,Sailor Song,Gigi Perez
2025-02-23,54,Cry For Me,The Weeknd
2025-02-23,55,No One Noticed,The Marias
2025-02-23,56,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-02-23,57,Sports Car,Tate McRae
2025-02-23,58,Smile,Morgan Wallen
2025-02-23,59,Tweaker,GELO
2025-02-23,60,Lasers,PARTYNEXTDOOR & Drake
2025-02-23,61,I Never Lie,Zach Top
2025-02-23,62,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-02-23,63,Meet Your Padre,"PARTYNEXTDOOR, Drake & Chino Pacas"
2025-02-23,64,Residuals,Chris Brown
2025-02-23,65,Indigo,Sam Barber Featuring Avery Anna
2025-02-23,66,Celibacy,PARTYNEXTDOOR & Drake
2025-02-23,67,15 Minutes,Sabrina Carpenter
2025-02-23,68,4x4xU,Lainey Wilson
2025-02-23,69,Bad Dreams,Teddy Swims
2025-02-23,70,Greedy,PARTYNEXTDOOR & Drake
2025-02-23,71,Fat Juicy & Wet,Sexyy Red & Bruno Mars
2025-02-23,72,Nuevayol,Bad Bunny
2025-02-23,73,When He's Gone,PARTYNEXTDOOR & Drake
2025-02-23,74,OMW,PARTYNEXTDOOR & Drake
2025-02-23,75,Good News,Shaboozey
2025-02-23,76,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-02-23,77,Loco,Neton Vega
2025-02-23,78,Worst Way,Riley Green
2025-02-23,79,I Ain't Sayin',Jordan Davis
2025-02-23,80,Ordinary,Alex Warren
2025-02-23,81,Hey Now,Kendrick Lamar Featuring Dody6
2025-02-23,82,Guy For That,Post Malone Featuring Luke Combs
2025-02-23,83,Glorious,PARTYNEXTDOOR & Drake
2025-02-23,84,Couldn't Make It Any Harder,Sabrina Carpenter
2025-02-23,85,Por Esos Ojos,Fuerza Regida
2025-02-23,86,Voy A Llevarte Pa PR,Bad Bunny
2025-02-23,87,Bad Reviews,Sabrina Carpenter
2025-02-23,88,Am I Okay?,Megan Moroney
2025-02-23,89,Heart Of A Woman,Summer Walker
2025-02-23,90,Twenties,Giveon
2025-02-23,91,EOO,Bad Bunny
2025-02-23,92,Push 2 Start,Tyla
2025-02-23,93,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-02-23,94,The Largest,BigXthaPlug
2025-02-23,95,Tu Boda,Oscar Maydon & Fuerza Regida
2025-02-23,96,4X4,Travis Scott
2025-02-23,97,Mutt,Leon Thomas
2025-02-23,98,No Pole,Don Toliver
2025-02-23,99,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-02-23,100,Juno,Sabrina Carpenter
2025-03-02,1,Luther,Kendrick Lamar & SZA
2025-03-02,2,Die With A Smile,Lady Gaga & Bruno Mars
2025-03-02,3,Not Like Us,Kendrick Lamar
2025-03-02,4,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-03-02,5,A Bar Song (Tipsy),Shaboozey
2025-03-02,6,APT.,ROSE & Bruno Mars
2025-03-02,7,Birds Of A Feather,Billie Eilish
2025-03-02,8,Pink Pony Club,Chappell Roan
2025-03-02,9,Lose Control,Teddy Swims
2025-03-02,10,Squabble Up,Kendrick Lamar
2025-03-02,11,Nokia,Drake
2025-03-02,12,Beautiful Things,Benson Boone
2025-03-02,13,That's So True,Gracie Abrams
2025-03-02,14,Love Somebody,Morgan Wallen
2025-03-02,15,30 For 30,SZA With Kendrick Lamar
2025-03-02,16,Sports Car,Tate McRae
2025-03-02,17,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-03-02,18,Espresso,Sabrina Carpenter
2025-03-02,19,I'm The Problem,Morgan Wallen
2025-03-02,20,Timeless,The Weeknd & Playboi Carti
2025-03-02,21,Messy,Lola Young
2025-03-02,22,Revolving Door,Tate McRae
2025-03-02,23,All The Stars,Kendrick Lamar & SZA
2025-03-02,24,Taste,Sabrina Carpenter
2025-03-02,25,Denial Is A River,Doechii
2025-03-02,26,Too Sweet,Hozier
2025-03-02,27,"Good Luck, Babe!",Chappell Roan
2025-03-02,28,Gimme A Hug,Drake
2025-03-02,29,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
2025-03-02,30,DTMF,Bad Bunny
2025-03-02,31,Abracadabra,Lady Gaga
2025-03-02,32,Stargazing,Myles Smith
2025-03-02,33,Who,Jimin
2025-03-02,34,Bed Chem,Sabrina Carpenter
2025-03-02,35,Liar,Jelly Roll
2025-03-02,36,Please Please Please,Sabrina Carpenter
2025-03-02,37,Peekaboo,Kendrick Lamar Featuring AzChike
2025-03-02,38,Sailor Song,Gigi Perez
2025-03-02,39,Baile Inolvidable,Bad Bunny
2025-03-02,40,High Road,Koe Wetzel & jessie murph
2025-03-02,41,No One Noticed,The Marias
2025-03-02,42,BMF,SZA
2025-03-02,43,I Know Love,Tate McRae Featauring The Kid LAROI
2025-03-02,44,Dear God,Tate McRae
2025-03-02,45,Wildflower,Billie Eilish
2025-03-02,46,I Never Lie,Zach Top
2025-03-02,47,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-03-02,48,Smile,Morgan Wallen
2025-03-02,49,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-03-02,50,Cry For Me,The Weeknd
2025-03-02,51,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-03-02,52,Busy Woman,Sabrina Carpenter
2025-03-02,53,Purple Lace Bra,Tate McRae
2025-03-02,54,Miss Possessive,Tate McRae
2025-03-02,55,Indigo,Sam Barber Featuring Avery Anna
2025-03-02,56,Residuals,Chris Brown
2025-03-02,57,Tweaker,GELO
2025-03-02,58,Call Me When You Break Up,"Selena Gomez, Benny Blanco & Gracie Abrams"
2025-03-02,59,Worst Way,Riley Green
2025-03-02,60,CN Tower,PARTYNEXTDOOR & Drake
2025-03-02,61,Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain"
2025-03-02,62,Bad Dreams,Teddy Swims
2025-03-02,63,Good News,Shaboozey
2025-03-02,64,bloodonmyhands,Tate McRae Featuring Flo Milli
2025-03-02,65,I Ain't Sayin',Jordan Davis
2025-03-02,66,Loco,Neton Vega
2025-03-02,67,Mutt,Leon Thomas
2025-03-02,68,Nuevayol,Bad Bunny
2025-03-02,69,cLOUDs,J. Cole
2025-03-02,70,Fat Juicy & Wet,Sexyy Red & Bruno Mars
2025-03-02,71,Ordinary,Alex Warren
2025-03-02,72,Something About You,PARTYNEXTDOOR & Drake
2025-03-02,73,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-03-02,74,Signs,Tate McRae
2025-03-02,75,ExtraL,JENNIE & Doechii
2025-03-02,76,2 Hands,Tate McRae
2025-03-02,77,4x4xU,Lainey Wilson
2025-03-02,78,Deeper,PARTYNEXTDOOR
2025-03-02,79,Am I Okay?,Megan Moroney
2025-03-02,80,Heart Of A Woman,Summer Walker
2025-03-02,81,Me Jalo,Fuerza Regida & Grupo Frontera
2025-03-02,82,Headlock,Imogen Heap
2025-03-02,83,LV Bag,"Don Toliver, J-Hope, Pharrell Williams & Speedy"
2025-03-02,84,Voy A Llevarte Pa PR,Bad Bunny
2025-03-02,85,Por Esos Ojos,Fuerza Regida
2025-03-02,86,Moth Balls,PARTYNEXTDOOR & Drake
2025-03-02,87,Raining In Houston,Drake
2025-03-02,88,The Largest,BigXthaPlug
2025-03-02,89,Little Things,Ella Mai
2025-03-02,90,Like I Do,Tate McRae
2025-03-02,91,Spider-Man Superman,PARTYNEXTDOOR & Drake
2025-03-02,92,EOO,Bad Bunny
2025-03-02,93,Backseat Driver,Kane Brown
2025-03-02,94,Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake"
2025-03-02,95,Hey Now,Kendrick Lamar Featuring Dody6
2025-03-02,96,No Pole,Don Toliver
2025-03-02,97,Small Town Fame,Drake
2025-03-02,98,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-03-02,99,Greenlight,Tate McRae
2025-03-02,100,Weren't For The Wind,Ella Langley
2025-03-09,1,Luther,Kendrick Lamar & SZA
2025-03-09,2,Die With A Smile,Lady Gaga & Bruno Mars
2025-03-09,3,Not Like Us,Kendrick Lamar
2025-03-09,4,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-03-09,5,A Bar Song (Tipsy),Shaboozey
2025-03-09,6,APT.,ROSE & Bruno Mars
2025-03-09,7,Birds Of A Feather,Billie Eilish
2025-03-09,8,Pink Pony Club,Chappell Roan
2025-03-09,9,Lose Control,Teddy Swims
2025-03-09,10,Nokia,Drake
2025-03-09,11,That's So True,Gracie Abrams
2025-03-09,12,Beautiful Things,Benson Boone
2025-03-09,13,Love Somebody,Morgan Wallen
2025-03-09,14,Squabble Up,Kendrick Lamar
2025-03-09,15,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-03-09,16,30 For 30,SZA With Kendrick Lamar
2025-03-09,17,I'm The Problem,Morgan Wallen
2025-03-09,18,Espresso,Sabrina Carpenter
2025-03-09,19,Timeless,The Weeknd & Playboi Carti
2025-03-09,20,Messy,Lola Young
2025-03-09,21,Sports Car,Tate McRae
2025-03-09,22,Denial Is A River,Doechii
2025-03-09,23,Taste,Sabrina Carpenter
2025-03-09,24,Too Sweet,Hozier
2025-03-09,25,Revolving Door,Tate McRae
2025-03-09,26,All The Stars,Kendrick Lamar & SZA
2025-03-09,27,"Good Luck, Babe!",Chappell Roan
2025-03-09,28,Stargazing,Myles Smith
2025-03-09,29,Abracadabra,Lady Gaga
2025-03-09,30,DTMF,Bad Bunny
2025-03-09,31,Liar,Jelly Roll
2025-03-09,32,Bed Chem,Sabrina Carpenter
2025-03-09,33,High Road,Koe Wetzel & jessie murph
2025-03-09,34,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
2025-03-09,35,Sailor Song,Gigi Perez
2025-03-09,36,I Never Lie,Zach Top
2025-03-09,37,BMF,SZA
2025-03-09,38,Gimme A Hug,Drake
2025-03-09,39,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-03-09,40,No One Noticed,The Marias
2025-03-09,41,Who,Jimin
2025-03-09,42,Baile Inolvidable,Bad Bunny
2025-03-09,43,Please Please Please,Sabrina Carpenter
2025-03-09,44,Sorry I'm Here For Someone Else,Benson Boone
2025-03-09,45,A N X I E T Y,Sleepy Hallow Featuring Doechii
2025-03-09,46,Peekaboo,Kendrick Lamar Featuring AzChike
2025-03-09,47,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-03-09,48,Wildflower,Billie Eilish
2025-03-09,49,Indigo,Sam Barber Featuring Avery Anna
2025-03-09,50,Smile,Morgan Wallen
2025-03-09,51,Residuals,Chris Brown
2025-03-09,52,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-03-09,53,Cry For Me,The Weeknd
2025-03-09,54,Bad Dreams,Teddy Swims
2025-03-09,55,Good News,Shaboozey
2025-03-09,56,Ms. Whitman,Bhad Bhabie
2025-03-09,57,Tweaker,GELO
2025-03-09,58,I Ain't Sayin',Jordan Davis
2025-03-09,59,Mutt,Leon Thomas
2025-03-09,60,Worst Way,Riley Green
2025-03-09,61,Busy Woman,Sabrina Carpenter
2025-03-09,62,Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain"
2025-03-09,63,Loco,Neton Vega
2025-03-09,64,Ordinary,Alex Warren
2025-03-09,65,Me Jalo,Fuerza Regida & Grupo Frontera
2025-03-09,66,Nuevayol,Bad Bunny
2025-03-09,67,Am I Okay?,Megan Moroney
2025-03-09,68,Fat Juicy & Wet,Sexyy Red & Bruno Mars
2025-03-09,69,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-03-09,70,Heart Of A Woman,Summer Walker
2025-03-09,71,Dear God,Tate McRae
2025-03-09,72,Call Me When You Break Up,"Selena Gomez, Benny Blanco & Gracie Abrams"
2025-03-09,73,I Know Love,Tate McRae Featauring The Kid LAROI
2025-03-09,74,4x4xU,Lainey Wilson
2025-03-09,75,Purple Lace Bra,Tate McRae
2025-03-09,76,Miss Possessive,Tate McRae
2025-03-09,77,cLOUDs,J. Cole
2025-03-09,78,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
2025-03-09,79,Por Esos Ojos,Fuerza Regida
2025-03-09,80,CN Tower,PARTYNEXTDOOR & Drake
2025-03-09,81,Little Things,Ella Mai
2025-03-09,82,Backseat Driver,Kane Brown
2025-03-09,83,Headlock,Imogen Heap
2025-03-09,84,No Pole,Don Toliver
2025-03-09,85,Tattoo,Tito Double P
2025-03-09,86,Voy A Llevarte Pa PR,Bad Bunny
2025-03-09,87,The Largest,BigXthaPlug
2025-03-09,88,Weren't For The Wind,Ella Langley
2025-03-09,89,Something About You,PARTYNEXTDOOR & Drake
2025-03-09,90,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-03-09,91,Burning Down,Alex Warren
2025-03-09,92,EOO,Bad Bunny
2025-03-09,93,Push 2 Start,Tyla
2025-03-09,94,Tu Boda,Oscar Maydon & Fuerza Regida
2025-03-09,95,Are You Even Real,Teddy Swims & GIVEON
2025-03-09,96,Born Again,LISA Featuring Doja Cat & RAYE
2025-03-09,97,Twenties,Giveon
2025-03-09,98,Deeper,PARTYNEXTDOOR
2025-03-09,99,Holy Smokes,Bailey Zimmerman
2025-03-09,100,7 Dias,Gabito Ballesteros & Tito Double P
2025-03-16,1,Luther,Kendrick Lamar & SZA
2025-03-16,2,Die With A Smile,Lady Gaga & Bruno Mars
2025-03-16,3,Not Like Us,Kendrick Lamar
2025-03-16,4,A Bar Song (Tipsy),Shaboozey
2025-03-16,5,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-03-16,6,APT.,ROSE & Bruno Mars
2025-03-16,7,Pink Pony Club,Chappell Roan
2025-03-16,8,Nokia,Drake
2025-03-16,9,Birds Of A Feather,Billie Eilish
2025-03-16,10,Lose Control,Teddy Swims
2025-03-16,11,That's So True,Gracie Abrams
2025-03-16,12,Beautiful Things,Benson Boone
2025-03-16,13,Anxiety,Doechii
2025-03-16,14,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-03-16,15,Love Somebody,Morgan Wallen
2025-03-16,16,Squabble Up,Kendrick Lamar
2025-03-16,17,I'm The Problem,Morgan Wallen
2025-03-16,18,Espresso,Sabrina Carpenter
2025-03-16,19,Abracadabra,Lady Gaga
2025-03-16,20,30 For 30,SZA With Kendrick Lamar
2025-03-16,21,Timeless,The Weeknd & Playboi Carti
2025-03-16,22,Sports Car,Tate McRae
2025-03-16,23,Denial Is A River,Doechii
2025-03-16,24,Messy,Lola Young
2025-03-16,25,Taste,Sabrina Carpenter
2025-03-16,26,Too Sweet,Hozier
2025-03-16,27,"Good Luck, Babe!",Chappell Roan
2025-03-16,28,Stargazing,Myles Smith
2025-03-16,29,Who,Jimin
2025-03-16,30,Bed Chem,Sabrina Carpenter
2025-03-16,31,Revolving Door,Tate McRae
2025-03-16,32,Liar,Jelly Roll
2025-03-16,33,All The Stars,Kendrick Lamar & SZA
2025-03-16,34,I Never Lie,Zach Top
2025-03-16,35,DTMF,Bad Bunny
2025-03-16,36,High Road,Koe Wetzel & jessie murph
2025-03-16,37,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-03-16,38,Sailor Song,Gigi Perez
2025-03-16,39,BMF,SZA
2025-03-16,40,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
2025-03-16,41,No One Noticed,The Marias
2025-03-16,42,Indigo,Sam Barber Featuring Avery Anna
