week,rank,title,artist
2025-01-12,19,Squabble Up,Kendrick Lamar
2025-01-12,20,Stargazing,Myles Smith
2025-01-12,21,"Good Luck, Babe!",Chappell Roan
2025-01-12,22,30 For 30,SZA With Kendrick Lamar
2025-01-12,23,Not Like Us,Kendrick Lamar
2025-01-12,24,Messy,Lola Young
2025-01-12,25,High Road,Koe Wetzel & jessie murph
2025-01-12,26,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-01-12,27,Nuevayol,Bad Bunny
2025-01-12,28,Baile Inolvidable,Bad Bunny
2025-01-12,29,Tweaker,GELO
2025-01-12,30,Sailor Song,Gigi Perez
2025-01-12,31,Wind Up Missin' You,Tucker Wetmore
2025-01-12,32,Please Please Please,Sabrina Carpenter
2025-01-12,33,I Am Not Okay,Jelly Roll
2025-01-12,34,BMF,SZA
2025-01-12,35,Bed Chem,Sabrina Carpenter
2025-01-12,36,Voy A Llevarte Pa PR,Bad Bunny
2025-01-12,37,El Club,Bad Bunny
2025-01-12,38,DTMF,Bad Bunny
2025-01-12,39,Who,Jimin
2025-01-12,40,Million Dollar Baby,Tommy Richman
2025-01-12,41,Wildflower,Billie Eilish
2025-01-12,42,Lies Lies Lies,Morgan Wallen
2025-01-12,43,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-01-12,44,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave
2025-01-12,45,Perfumito Nuevo,Bad Bunny & RaiNao
2025-01-12,46,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-01-12,47,Pink Pony Club,Chappell Roan
2025-01-12,48,No One Noticed,The Marias
2025-01-12,49,Liar,Jelly Roll
2025-01-12,50,Outfit,Lil Baby & 21 Savage
2025-01-12,51,Stuff,Lil Baby Featuring Travis Scott
2025-01-12,52,Weltita,Bad Bunny & Chuwi
2025-01-12,53,Redbone,Lil Baby & Glorilla
2025-01-12,54,EOO,Bad Bunny
2025-01-12,55,I Never Lie,Zach Top
2025-01-12,56,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-01-12,57,F U 2x,Lil Baby
2025-01-12,58,4x4xU,Lainey Wilson
2025-01-12,59,Ketu Tecre,Bad Bunny
2025-01-12,60,Pitorro de Coco,Bad Bunny
2025-01-12,61,Indigo,Sam Barber Featuring Avery Anna
2025-01-12,62,Loco,Neton Vega
2025-01-12,63,It's Ok I'm Ok,Tate McRae
2025-01-12,64,Good News,Shaboozey
2025-01-12,65,Listen Up,Lil Baby
2025-01-12,66,Kloufrens,Bad Bunny
2025-01-12,67,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
2025-01-12,68,Tu Boda,Oscar Maydon & Fuerza Regida
2025-01-12,69,Bokete,Bad Bunny
2025-01-12,70,Scorsese Baby Daddy,SZA
2025-01-12,71,I Promise,Lil Baby
2025-01-12,72,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-01-12,73,Due 4A Win,Lil Baby
2025-01-12,74,So Sorry,Lil Baby
2025-01-12,75,Think I'm In Love With You,Chris Stapleton
2025-01-12,76,Denial Is A River,Doechii
2025-01-12,77,Turista,Bad Bunny
2025-01-12,78,Guy For That,Post Malone Featuring Luke Combs
2025-01-12,79,Residuals,Chris Brown
2025-01-12,80,No Pole,Don Toliver
2025-01-12,81,I Ain't Sayin',Jordan Davis
2025-01-12,82,Am I Okay?,Megan Moroney
2025-01-12,83,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta
2025-01-12,84,Help Me,Real Boston Richey
2025-01-12,85,Bad Dreams,Teddy Swims
2025-01-12,86,Stiff Gang,Lil Baby
2025-01-12,87,Dancing In The Flames,The Weeknd
2025-01-12,88,Boys Back Home,Dylan Marlowe & Dylan Scott
2025-01-12,89,Heart Of A Woman,Summer Walker
2025-01-12,90,Peekaboo,Kendrick Lamar Featuring AzChike
2025-01-12,91,Drive,SZA
2025-01-12,92,Popular,Ariana Grande
2025-01-12,93,Hey Now,Kendrick Lamar Featuring Dody6
2025-01-12,94,Lo Que Le Paso A Hawaii,Bad Bunny
2025-01-12,95,La Mudanza,Bad Bunny
2025-01-12,96,Close To You,Gracie Abrams
2025-01-12,97,Diet Pepsi,Addison Rae
2025-01-12,98,Burning Down,Alex Warren
2025-01-12,99,Free Promo,Lil Baby
2025-01-12,100,Dos Dias,Tito Double P & Peso Pluma
2025-01-19,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-01-19,2,DTMF,Bad Bunny
2025-01-19,3,Baile Inolvidable,Bad Bunny
2025-01-19,4,A Bar Song (Tipsy),Shaboozey
2025-01-19,5,APT.,ROSE & Bruno Mars
2025-01-19,6,Luther,Kendrick Lamar & SZA
2025-01-19,7,Birds Of A Feather,Billie Eilish
2025-01-19,8,Nuevayol,Bad Bunny
2025-01-19,9,Lose Control,Teddy Swims
2025-01-19,10,That's So True,Gracie Abrams
2025-01-19,11,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-01-19,12,Taste,Sabrina Carpenter
2025-01-19,13,Espresso,Sabrina Carpenter
2025-01-19,14,Love Somebody,Morgan Wallen
2025-01-19,15,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-01-19,16,Smile,Morgan Wallen
2025-01-19,17,Voy A Llevarte Pa PR,Bad Bunny
2025-01-19,18,Beautiful Things,Benson Boone
2025-01-19,19,Timeless,The Weeknd & Playboi Carti
2025-01-19,20,Squabble Up,Kendrick Lamar
2025-01-19,21,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-01-19,22,Too Sweet,Hozier
2025-01-19,23,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-01-19,24,EOO,Bad Bunny
2025-01-19,25,Stargazing,Myles Smith
2025-01-19,26,30 For 30,SZA With Kendrick Lamar
2025-01-19,27,El Club,Bad Bunny
2025-01-19,28,"Good Luck, Babe!",Chappell Roan
2025-01-19,29,Messy,Lola Young
2025-01-19,30,Tweaker,GELO
2025-01-19,31,Perfumito Nuevo,Bad Bunny & RaiNao
2025-01-19,32,Weltita,Bad Bunny & Chuwi
2025-01-19,33,Not Like Us,Kendrick Lamar
2025-01-19,34,High Road,Koe Wetzel & jessie murph
2025-01-19,35,BMF,SZA
2025-01-19,36,Bed Chem,Sabrina Carpenter
2025-01-19,37,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-01-19,38,Ketu Tecre,Bad Bunny
2025-01-19,39,Sailor Song,Gigi Perez
2025-01-19,40,Kloufrens,Bad Bunny
2025-01-19,41,Who,Jimin
2025-01-19,42,Bokete,Bad Bunny
2025-01-19,43,I Am Not Okay,Jelly Roll
2025-01-19,44,Wind Up Missin' You,Tucker Wetmore
2025-01-19,45,Turista,Bad Bunny
2025-01-19,46,No One Noticed,The Marias
