date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2024-04-28,23,Ho Fatto Un Sogno,Tananai & Madame & Rose Villain,5OiSAWiUSwWQJdmQ5dtFEb,56,160279,0,2aLaFLGNQdGkiUicivMLQ1,2024-04-26,unknown,unknown
2024-04-28,24,CLICK BOOM!,Rose Villain,2PO4ThUKzIa4rBLsFkyInU,69,225561,0,6PBnYwtMjAW4XqVRs9Il2l,2024-03-08,italian trap,italian trap
2024-04-28,25,i like the way you kiss me,Artemas,2GxrNKugF82CnoRFbQfzPf,100,142514,0,5HIWDdg3g9CTOtnevKDl1z,2024-03-19,unknown,unknown
2024-04-28,26,Sinceramente,Annalisa,60QN1JrgYM7jcfW8pdQFqT,71,215714,0,4GIt1yQFoBhEi3wOrgZDbg,2023-09-29,italo dance,italo dance
2024-04-28,27,LIBERI,Baby Gang,0RIs8xWexMn5QPn0RPiqKV,56,168813,1,3QBZ8MMQ5gXCftWLiMJRLg,2024-04-26,italian trap,italian trap
2024-04-28,28,Italiano (feat. Niko Pandetta),Baby Gang,4H48sa3jFES0VS6ric0hbR,56,126400,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-28,29,ADDO STAJE - Ride it RMX,Le-one & VTR,0RJqd6reIErLJnvv9GorCZ,72,161694,0,2Dzc1Nj3NRZ6MbUGHqZHqX,2024-03-15,"canzone napoletana, neomelodico",canzone napoletana
2024-04-28,30,Devastante,Olly & JVLI,1ej2NcW0CHnscPp1RZpr1V,73,190122,0,4QpLnSupGsuYYJYYoj29Q7,2024-03-08,unknown,unknown
2024-04-28,31,EL MATADOR (From the Netflix Rap Show “Nuova Scena”),"Elmatadormc7, Nuova Scena",11HeOLoW2cnWZzGHWnllYq,75,168960,0,6UDBnsOcte6GwhTBLZ75kK,2024-03-05,italian trap,italian trap
2024-04-28,32,Eva (feat. Tedua),Kid Yugi,29nqe5lhK8JmNcVXum7UuA,78,160496,1,1WeHoP0y9QcQqgpa5xgMAh,2024-03-01,italian trap,italian trap
2024-04-28,33,Vai!,Alfa,1yKRalWLlHie0zbKW3n6W0,69,156923,0,1aiCFo4xwwYp9J7qHOy1Mb,2024-02-16,unknown,unknown
2024-04-28,34,La noia,Angelina Mango,49R1F3rIdSzuPk7AcHi6d1,80,189124,0,3thPAnMavUmX8gGyjOzYFI,2024-02-07,unknown,unknown
2024-04-28,35,Casa Mia,Ghali,4cWrKV5SN7AknqPy4ryBDG,78,210541,0,4xFy5R5epCv3JQj92m7lHJ,2024-02-07,italian trap,italian trap
2024-04-28,36,Serenata Gangster (feat. Rocco Hunt),Baby Gang,0keD3vzVQY9cmL7iQy2K2j,55,161379,1,3QBZ8MMQ5gXCftWLiMJRLg,2024-04-26,italian trap,italian trap
2024-04-28,37,MA CHE IDEA (feat. Pino D'Angiò),"bnkr44, Pino D'Angiò",1kKccj5wYXTj3gTpUIMoac,75,226464,0,0j4VujrvdWsDMO4b1jQFzI,2024-02-10,unknown,unknown
2024-04-28,38,VIENI DALLA BADDIE - interlude,ANNA,3fTB8VGBXPr77dFxpPEdpa,65,93333,0,4KakTQXezMez5owYFuGAF2,2024-04-18,italian trap,italian trap
2024-04-28,39,Venom,Baby Gang,2uwkegTYMHttY0wi1awTdQ,54,123272,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-28,40,ICON,Tony Effe,25G6u0xZ3sWshDggxZ9Jjp,73,128759,1,33Fn5GCd1FuV43TNfZgro4,2024-03-15,italian trap,italian trap
2024-04-28,41,APNEA,Emma,3qyidNdb5QNHLxAFJzTn6P,64,180923,0,0YMrslSUc1TClPK7b1SVBa,2023-10-12,unknown,unknown
2024-04-28,42,Beautiful Things,Benson Boone,3xkHsmpQCBMytMJNiDf3Ii,88,180304,0,168CdR21lfn0TTyw1Pkdcm,2024-04-05,unknown,unknown
2024-04-28,43,Calcolatrici,Sfera Ebbasta,6bN41HjY008ggroMFxNLaa,75,205524,1,3ilgQgVMtxAxN2Jmb1OM29,2023-11-17,"italian trap, trap",italian trap
2024-04-28,44,PILLOLE (feat. Sfera Ebbasta & Geolier),Tony Effe,6e8ik5SZHgkYgGyNYSYcgr,76,147426,1,4rCMQjEm7zRJDbS5NbtCLY,2024-03-15,italian trap,italian trap
2024-04-28,45,Tutto Qui,Gazzelle,2cpZJsQFxwHvBF0KB5dCaB,75,211783,0,7c4WZWTbWCodNxtex7owQN,2024-02-07,indie,indie
2024-04-28,46,Lilith,Kid Yugi,6YB8rH5Lr340A4ps8eV7hw,75,164211,1,1WeHoP0y9QcQqgpa5xgMAh,2024-03-01,italian trap,italian trap
2024-04-28,47,"EVERYDAY (feat. Shiva, ANNA, Geolier)",Takagi & Ketra & Shiva & ANNA,20bTkdvyWZjO4ORHmzXQR4,74,190188,0,7qm8bQi1fUSQoo1jUjjLIs,2023-10-13,unknown,unknown
2024-04-28,48,UN RAGAZZO UNA RAGAZZA,The Kolors,60NDVF7fFIq13aO9rIN80c,77,217031,0,3tNnKTFodG4lOLiGM39yvV,2024-02-07,"italo dance, italo disco",italo dance
2024-04-28,49,Anche Stasera,Sfera Ebbasta,5WssaPhjCCUFBMk9PpnHYj,74,217500,1,3ilgQgVMtxAxN2Jmb1OM29,2023-11-17,"italian trap, trap",italian trap
2024-04-28,50,Leanin',Tony Boy,2oQeSFEOYr7JEWhOx9uPHH,64,146285,1,1ebja9z4FBEivqqCYEqega,2024-04-19,italian trap,italian trap
2024-04-29,1,MIU MIU,Tony Effe,5lD8PyWZ7e6mGw2COTtZJp,80,147498,1,4rCMQjEm7zRJDbS5NbtCLY,2024-03-15,italian trap,italian trap
2024-04-29,2,COME UN TUONO (feat. Guè),"Rose Villain, Guè",0lXVWzLwDnKB7Ro5p0AJPg,81,175293,1,5MHSMa7gBXLoOGIPbNtOCo,2024-03-08,italian trap,italian trap
2024-04-29,3,100 MESSAGGI,Lazza,2l4NKSQbBA3sV0nxpNjSkj,82,244096,1,1QqHc2RPq59exIRKRolI1O,2024-02-27,italian trap,italian trap
2024-04-29,4,DOPO LE 4 (feat. Bresh & Tedua),Tony Effe,3qxiSQOe8EhQm7OckqKiUu,81,182906,1,4rCMQjEm7zRJDbS5NbtCLY,2024-03-15,italian trap,italian trap
2024-04-29,5,00,Artie 5ive,58b9VLwnigGBDjvq89Eo1W,78,134347,1,6MBwTJm6bgvEhh2Bj51uCy,2024-04-03,italian trap,italian trap
2024-04-29,6,Gata Only,FloyyMenor & Cris Mj,6XjDF6nds4DE2BBbagZol6,98,222000,1,5tSQtQGkrCJx3hoQxmLgfM,2024-02-02,reggaeton chileno,reggaeton chileno
2024-04-29,7,L'ULTIMA POESIA,Geolier & Ultimo,5oJVfPUHsD7A8bZtKVqgL2,80,228378,0,1bdXMUERNI9dwREDryk6C7,2024-03-22,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2024-04-29,8,"Sola (feat. Lazza, Tedua)",Baby Gang,5r9wBfbbK4JcZUEAGFg6su,65,186000,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,9,"Adrenalina (feat. BLANCO, Marracash)",Baby Gang,1ItU1iY6Dbrlikq2WGzzLN,59,166153,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,10,"I P’ ME, TU P’ TE","Geolier, Michelangelo",3j1453KrdHjw7y4gnBj7nF,81,187881,0,09DwcnxasBOzPGqVXJPF13,2024-02-07,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2024-04-29,11,TUTA GOLD,Mahmood,72Z3lAlMuUp1LmgVC5xSi6,73,178467,0,3gamm87LxiqNQpxtXhl7h8,2024-02-15,unknown,unknown
2024-04-29,12,Madame (feat. Sfera Ebbasta),Baby Gang,3J0cZ53BkzP4yhtOh0y02o,64,162857,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,13,CLICK BOOM!,Rose Villain,2PO4ThUKzIa4rBLsFkyInU,69,225561,0,6PBnYwtMjAW4XqVRs9Il2l,2024-03-08,italian trap,italian trap
2024-04-29,14,I CAN FLY,Icy Subzero,2Y3gIiYfcphPCPNYuQDMph,74,164705,0,2SbroeWsALG42AtivCsCnu,2024-03-22,italian trap,italian trap
2024-04-29,15,Sinceramente,Annalisa,60QN1JrgYM7jcfW8pdQFqT,71,215714,0,4GIt1yQFoBhEi3wOrgZDbg,2023-09-29,italo dance,italo dance
2024-04-29,16,i like the way you kiss me,Artemas,2GxrNKugF82CnoRFbQfzPf,100,142514,0,5HIWDdg3g9CTOtnevKDl1z,2024-03-19,unknown,unknown
2024-04-29,17,ADDO STAJE - Ride it RMX,Le-one & VTR,0RJqd6reIErLJnvv9GorCZ,72,161694,0,2Dzc1Nj3NRZ6MbUGHqZHqX,2024-03-15,"canzone napoletana, neomelodico",canzone napoletana
2024-04-29,18,Miez A Via (feat. Geolier),Baby Gang,1lKCEBF9dBDOklnyl5tbK9,62,187951,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,19,Vai!,Alfa,1yKRalWLlHie0zbKW3n6W0,69,156923,0,1aiCFo4xwwYp9J7qHOy1Mb,2024-02-16,unknown,unknown
2024-04-29,20,La noia,Angelina Mango,49R1F3rIdSzuPk7AcHi6d1,80,189124,0,3thPAnMavUmX8gGyjOzYFI,2024-02-07,unknown,unknown
2024-04-29,21,Eva (feat. Tedua),Kid Yugi,29nqe5lhK8JmNcVXum7UuA,77,160496,1,1WeHoP0y9QcQqgpa5xgMAh,2024-03-01,italian trap,italian trap
2024-04-29,22,Devastante,Olly & JVLI,1ej2NcW0CHnscPp1RZpr1V,73,190122,0,4QpLnSupGsuYYJYYoj29Q7,2024-03-08,unknown,unknown
2024-04-29,23,Casa Mia,Ghali,4cWrKV5SN7AknqPy4ryBDG,78,210541,0,4xFy5R5epCv3JQj92m7lHJ,2024-02-07,italian trap,italian trap
2024-04-29,24,EL MATADOR (From the Netflix Rap Show “Nuova Scena”),"Elmatadormc7, Nuova Scena",11HeOLoW2cnWZzGHWnllYq,75,168960,0,6UDBnsOcte6GwhTBLZ75kK,2024-03-05,italian trap,italian trap
2024-04-29,25,Gangster (feat. Paky),Baby Gang,5tlYqeZG8cO3ST3PCipnxQ,62,204000,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,26,"Huracàn (feat. Gemitaiz, MadMan)","Baby Gang, Gemitaiz, MadMan",0TTDfFZQggxtYF3NDX0u0G,61,160851,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,27,MA CHE IDEA (feat. Pino D'Angiò),"bnkr44, Pino D'Angiò",1kKccj5wYXTj3gTpUIMoac,75,226464,0,0j4VujrvdWsDMO4b1jQFzI,2024-02-10,unknown,unknown
2024-04-29,28,VIENI DALLA BADDIE - interlude,ANNA,3fTB8VGBXPr77dFxpPEdpa,66,93333,0,4KakTQXezMez5owYFuGAF2,2024-04-18,italian trap,italian trap
2024-04-29,29,Millionaire (feat. Guè),"Baby Gang, Bobo, Guè",5dm31mAc2ZAI8NCdoYEJxR,61,168375,1,3QBZ8MMQ5gXCftWLiMJRLg,2024-04-26,italian trap,italian trap
2024-04-29,30,Assistente Sociale (feat. Simba La Rue),Baby Gang,0TK60zhllub2uzbpkckwiD,61,170625,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,31,APNEA,Emma,3qyidNdb5QNHLxAFJzTn6P,64,180923,0,0YMrslSUc1TClPK7b1SVBa,2023-10-12,unknown,unknown
2024-04-29,32,ICON,Tony Effe,25G6u0xZ3sWshDggxZ9Jjp,73,128759,1,33Fn5GCd1FuV43TNfZgro4,2024-03-15,italian trap,italian trap
2024-04-29,33,"Non Mi Vedi (feat. Fabri Fibra, Ernia, Rkomi, Geolier, Poison Beatz)",Baby Gang,1pTP1J50Al4AhOCxUTi8bM,60,196800,1,3QBZ8MMQ5gXCftWLiMJRLg,2024-04-26,italian trap,italian trap
2024-04-29,34,"Agente (feat. Emis Killa, Jake La Furia)",Baby Gang,3ACyO7Li3BD8rUsZlzheJe,60,211000,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,35,Guerra,Baby Gang,162P3KqGAc1bPwk6ZBfrpY,61,176000,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-29,36,Ho Fatto Un Sogno,Tananai & Madame & Rose Villain,5OiSAWiUSwWQJdmQ5dtFEb,59,160279,0,2aLaFLGNQdGkiUicivMLQ1,2024-04-26,unknown,unknown
2024-04-29,37,PILLOLE (feat. Sfera Ebbasta & Geolier),Tony Effe,6e8ik5SZHgkYgGyNYSYcgr,75,147426,1,4rCMQjEm7zRJDbS5NbtCLY,2024-03-15,italian trap,italian trap
2024-04-29,38,Beautiful Things,Benson Boone,3xkHsmpQCBMytMJNiDf3Ii,88,180304,0,168CdR21lfn0TTyw1Pkdcm,2024-04-05,unknown,unknown
2024-04-29,39,Bloods & Crips,Baby Gang,7yMGnB76iqqo4BRyMb6r8L,60,157642,1,3QBZ8MMQ5gXCftWLiMJRLg,2024-04-26,italian trap,italian trap
2024-04-29,40,Calcolatrici,Sfera Ebbasta,6bN41HjY008ggroMFxNLaa,75,205524,1,3ilgQgVMtxAxN2Jmb1OM29,2023-11-17,"italian trap, trap",italian trap
