date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,"Gelosa (feat. Shiva, Sfera Ebbasta, GuÃ¨)",Finesse & Shiva & Sfera Ebbasta,2hHC2jw8qiE4IAPDGjU4Fu,82,181611,0,0EtbYgB5v6HF3VgWVYOOOi,2023-02-24,italian trap,italian trap
2023-05-18,4,PelÃ©,Rhove & Madfingerz,2IqM0gOHG4LlL0MHuOjLOq,78,133858,1,3q0jSQN78hoqBtXB2JDaw5,2023-03-16,italian trap,italian trap
2023-05-18,16,Dimmi Che C'Ã¨ (feat. Tedua),thasup,7jVQ6DP7Q6S2wKWqJmcTZL,70,182078,0,0aNU7OgnwicBxJrhvv4Bah,2022-09-30,italian trap,italian trap
2023-05-18,18,Non litighiamo piÃ¹,Rocco Hunt,7n3z4EHDbOb3Ib8dLFtwWG,75,180444,0,6mb62aOsgJ2yItwqViACbE,2023-03-31,"canzone napoletana, neomelodico",canzone napoletana
2023-05-18,21,Cookies N' Cream (feat. ANNA & Sfera Ebbasta),GuÃ¨,1xUnvxp9DFrpwXnO0RHKUp,77,201845,1,5FnVg6RBrEFUIEpHRw8EB1,2023-01-13,italian trap,italian trap
2023-05-18,41,BESO,ROSALÃA & Rauw Alejandro,609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-21,30,PUTA (feat. Ghali & GuÃ¨),Sixpm & Ghali & GuÃ¨,7wrsR2dXDmuMEZKktOOyqB,56,186990,1,32gyucPh2z6ReaGnUBzIub,2023-05-18,unknown,unknown
2023-05-28,15,Tony Montana (feat. GuÃ¨),Baby Gang,201JJbyPScX7NO7DnjhNnD,60,147253,1,7CIpLH395MhKKJ7WyUzm58,2023-05-26,italian trap,italian trap
2023-05-28,19,CapitÃ¡n,Rvfv & Anitta & Sfera Ebbasta,5uiE7541e17jGNUEUZ1wqC,64,224888,1,2fjqCh4U7HvXqpEXPhpOMv,2023-05-26,"flamenco urbano, flamenco",flamenco urbano
2023-06-04,10,Scala Di Milano (feat. GuÃ¨),Tedua,10mc5WaaFg1TC4sJhBBLBL,65,175738,0,4ir7AIjfrMVHTxZhnfzhWl,2023-06-02,italian trap,italian trap
2023-06-04,12,SoffierÃ ,Tedua,2O0y98O2o2hY9M3eBPvnsW,63,202500,0,4ir7AIjfrMVHTxZhnfzhWl,2023-06-02,italian trap,italian trap
2023-06-04,14,La VeritÃ  (feat. bnkr44),Tedua,5JWtC9ZvN4KxG5xlDR26qW,63,177939,0,4ir7AIjfrMVHTxZhnfzhWl,2023-06-02,italian trap,italian trap
2023-06-11,11,Riflessi rossi (feat. GuÃ¨ & LuchÃ¨),Shiva,3ct6DP8KispP9ZV5ICkM7V,61,195732,1,4oUqxRcUDEwAPqpYgOYuUG,2023-06-09,italian trap,italian trap
2023-07-02,6,YALLA (feat. GuÃ¨ & Marracash),Drillionaire,6VTxXLLqkJw1GoKlKrwsvQ,39,197509,1,4buUBHrLMnqUFtwWCfq1pb,2023-06-28,italian trap,italian trap
2023-07-02,11,DESOLÃ (feat. Rhove & Geolier),Drillionaire,2jeNH1ZJTHOX8upHBmPGzU,38,165491,1,4buUBHrLMnqUFtwWCfq1pb,2023-06-28,italian trap,italian trap
2023-07-02,12,PELOTA (feat. Tony Effe & GuÃ¨),Drillionaire,4OIivGhM7i3yzUTXiLvuM0,38,173465,1,4buUBHrLMnqUFtwWCfq1pb,2023-06-28,italian trap,italian trap
2023-07-09,29,SEXY (feat. GuÃ¨),Irama & Rkomi,6iOZlieTgmYWDCQmq4Auu6,40,156674,0,6QqDUInH8FiRADP1bG8LZF,2023-07-07,unknown,unknown
2023-07-16,46,ROOFTOP (feat. GuÃ¨),MV Killa,14ZxYiB4WZvbma2Jr15MeP,71,176146,1,5y2UTfhxtOcFE1v5S585kK,2023-04-28,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2023-08-12,47,La Notte di San Lorenzo,LuchÃ¨,3R3S0yqtESkFwJDpscvKfd,64,188888,0,2fheBMJ0R15riUbISACz2F,2022-04-01,"italian trap, canzone napoletana",italian trap
2023-09-03,36,HONEY (ARE U COMING?),MÃ¥neskin,5UHHuxxYFnuE5KBbpl4Hzu,71,167276,0,3wLMnrlPtVSADxalu9kIxK,2023-09-01,unknown,unknown
2023-09-19,34,Insta Lova,Marracash & GuÃ¨,1w91YxaRwTShkKe4apYf3r,56,206805,0,2LLWEWdoQPndFp7cqwQYhV,2016-06-24,italian trap,italian trap
2023-10-06,47,Si No EstÃ¡s,iÃ±igo quintero,2HafqoJbgXdtjwCOvNEF14,87,184061,0,66k6EGkPtYoN44anGIsEPW,2022-09-23,unknown,unknown
2023-11-04,11,CROCI â¬ CRISTI,Salmo & Noyz Narcos,39daCTpMXD3ILcvHmCG1AN,0,154695,1,5QpNXrDu68PAmxEXYDSePw,2023-11-03,italian trap,italian trap
2023-11-08,27,DIMMI CHE NON Ã UN ADDIO,Holden,38PZYuXD1wIWNOGSWN13OK,35,177769,0,4JFLk11pKMTJDZ27vl4ca1,2023-11-07,unknown,unknown
2023-11-11,47,VALENTINE,MÃ¥neskin,5mY6WIHXoBsOCSyQxrTg0E,0,216997,0,2kcJ3TxBhSwmki0QWFXUz8,2023-11-10,unknown,unknown
2023-11-17,5,Che tâo dico a faâ,Angelina Mango,29BLybpYHhOcDGWfkvKNTu,32,187742,0,2wTktpdvwoQdSYVhw54Lbz,2023-10-06,unknown,unknown
2023-11-25,42,JOE PESCI & DE NIRO - casinÃ²,Emis Killa,0KH2L2BYgLYo6rU0K7olHf,32,157186,0,1RwNWkA8leLYPXdCjoOdHl,2023-11-24,italian trap,italian trap
2023-12-02,18,Fils De Pute (feat. Speranza & RafilÃ¹),Massimo Pericolo,24FFdPglqlH5uXwBwyY8kb,0,205885,0,50SWJ7Aq7XuSKl8SJYFnn9,2023-12-01,italian trap,italian trap
2023-12-02,22,Di Persona (feat. GuÃ¨),Massimo Pericolo,2mZcLTooYMTD3CAMsRDaKu,0,153048,0,50SWJ7Aq7XuSKl8SJYFnn9,2023-12-01,italian trap,italian trap
2023-12-02,29,Sotto Controllo (feat. LuchÃ¨),Ghali,0YsVF7NmYGyLnaghCsLG30,0,122110,1,36pfG4aLiawluO8PgGZkeh,2023-12-01,italian trap,italian trap
2023-12-04,48,It's Beginning to Look a Lot like Christmas,Michael BublÃ©,3it2BvJfyhPEWF3kD2TZJ1,83,207199,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-12-10,21,Feliz Navidad,JosÃ© Feliciano,0oPdaY4dXtc3ZsaG17V972,86,182066,0,3No96PtEFyRfX1oELmZTPu,2002-09-24,"christmas, bolero, villancicos",christmas
2023-12-10,48,Holly Jolly Christmas,Michael BublÃ©,6rqn19AqjcM5wgI1hCYciJ,81,119786,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-12-17,39,La Merce PiÃ¹ Buona (feat. Emis Killa & GuÃ¨),Gemitaiz,1QuMDggqlPRHM4BRXVkPV9,59,242540,1,12QaFsG7B3lBtB2TrMDg8g,2023-12-14,italian trap,italian trap
2023-12-22,40,UnâAltra Volta,Vale Pain,0LibhadIbaCxWStsermQhg,53,132571,1,3Iew1h5VtOr8eiSe3omNjj,2023-12-20,"italian trap, drill",italian trap
2023-12-25,22,Santa Claus Is Coming to Town,Michael BublÃ©,5dLwdEJAFzjQbeRrDL5uzo,79,171806,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-12-25,37,Jingle Bells (feat. The Puppini Sisters),Michael BublÃ©,19fbN84F5YHDyv8dyTbCO8,74,159973,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-12-25,50,Happy Xmas (War Is Over),CÃ©line Dion,2ohR9Qj4TgZafZCptO9cly,81,254706,0,5k27z7TrQn2O0mKMoiwHzN,1998-10-30,variété française,variété française
2024-01-07,3,BÃTIMENT (feat. Sfera Ebbasta),Simba La Rue,6BhhV1ImaKVr1YwsyYIBWJ,62,204631,1,31OPmDCnbwH8HgYrosnzxo,2024-01-05,italian trap,italian trap
2024-01-07,10,SHOPPING (feat. GuÃ¨),Simba La Rue,2g1qLCYyfM7ocVOJthwdpZ,61,156093,1,5fPfDmHygWKgDwknMkKoVo,2024-01-05,italian trap,italian trap
2024-01-14,2,Câera Una Volta In Italia,Club Dogo,6qECCt8d4AQt0cEv307MLa,67,185168,1,3nPgVpEmlL2JCf2yhdEcFy,2024-01-12,italian trap,italian trap
2024-02-09,1,"I Pâ ME, TU Pâ TE",Geolier,3j1453KrdHjw7y4gnBj7nF,73,187881,0,09DwcnxasBOzPGqVXJPF13,2024-02-07,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2024-02-09,11,Pazza,Loredana BertÃ¨,5iwqTbqjxyhAu8w3BXvME5,67,168166,0,6uButJ1B8ilheP6YHP7ZJV,2024-02-07,"italian singer-songwriter, italo dance",italian singer-songwriter
2024-02-13,49,MA CHE IDEA (feat. Pino D'AngiÃ²),bnkr44 & Pino D'AngiÃ²,1kKccj5wYXTj3gTpUIMoac,56,226464,0,0j4VujrvdWsDMO4b1jQFzI,2024-02-10,unknown,unknown
2024-02-25,37,NON MI RICONOSCO â  (con centomilacarie & Salmo),MACE & centomilacarie & Salmo,49Z7NyXeCgUTPRFJaUkoVG,0,216389,0,5wByaEbAmxIlQCDdicFJry,2024-02-22,italian trap,italian trap
2024-03-07,35,EL MATADOR (From the Netflix Rap Show âNuova Scenaâ),Elmatadormc7,11HeOLoW2cnWZzGHWnllYq,56,168960,0,6UDBnsOcte6GwhTBLZ75kK,2024-03-05,italian trap,italian trap
2024-03-07,45,Maliciosa (From the Netflix Rap Show âNuova Scenaâ),Elmatadormc7,6KJ57PY7fIIRlaweLnNbXj,63,127200,0,0k7qh6Op4gcUmlT6rrJUH3,2024-02-27,italian trap,italian trap
2024-03-13,50,COME UN TUONO (feat. GuÃ¨),Rose Villain,0lXVWzLwDnKB7Ro5p0AJPg,60,175293,1,5MHSMa7gBXLoOGIPbNtOCo,2024-03-08,italian trap,italian trap
2024-03-17,20,DEMON TIME (feat. GuÃ¨),Tony Effe,1rGxB4JU4qemdKErRszshK,59,181840,1,4rCMQjEm7zRJDbS5NbtCLY,2024-03-15,italian trap,italian trap
2024-03-29,44,PRAY 4 ME,Zafman & YÃ¸da,7prY8MRL8FfyMVJLpKQoZ8,51,194184,1,6LpPL4WU594WQFmufmkmwF,2024-03-27,unknown,unknown
2024-03-31,34,AlÃ© (feat. Capo Plaza),Rhove,1svXgJMHCJsQzy5pzBl9Nl,53,200592,0,3q0jSQN78hoqBtXB2JDaw5,2024-03-29,italian trap,italian trap
2024-03-31,38,Vestiti da Rapper (feat. GuÃ¨),Rhove,1rQVewXWwmJq9RtsnLM51Z,52,164705,0,3q0jSQN78hoqBtXB2JDaw5,2024-03-29,italian trap,italian trap
2024-04-07,16,"TUTTO FUORI CONTROLLO àµµ (con Franco 126, Kid Yugi, Izi)",MACE,56aNXzJAZbI1j6jJeEampd,58,200729,0,5wByaEbAmxIlQCDdicFJry,2024-04-04,italian trap,italian trap
2024-04-07,19,"PRAISE THE LORD â¥ (con GuÃ¨, Noyz Narcos, Tony Boy)",MACE,2GkdBGXdB5rzbSE6JUvftk,57,195320,0,5wByaEbAmxIlQCDdicFJry,2024-04-04,italian trap,italian trap
2024-04-07,34,"METEORE â³¢ (con Gemitaiz, Izi, centomilacarie)",MACE,6nVmWaWPlljkjo6v6vpFfA,56,259186,0,5wByaEbAmxIlQCDdicFJry,2024-04-04,italian trap,italian trap
2024-04-07,35,"FUOCO DI PAGLIA à¦ (con Marco Mengoni, Frah Quintale, Gemitaiz)",MACE,7BUTAFBzyU8XlmWEHTN01J,55,204169,0,5wByaEbAmxIlQCDdicFJry,2024-04-04,italian trap,italian trap
2024-04-07,41,"LUMIERE á¯¤ (con Izi, Ernia, Tony Boy, Digital Astro)",MACE,09SJuGrR0qqmVvGqWIAiLe,55,194999,0,5wByaEbAmxIlQCDdicFJry,2024-04-04,italian trap,italian trap
2024-04-23,48,Pedro,Jaxomy & Agatino Romero & Raffaella CarrÃ ,48lxT5qJF0yYyf2z4wB4xW,87,144846,0,5y6RXjI5VPR0RyInghTbf1,2024-03-29,unknown,unknown
2024-04-28,15,"HuracÃ n (feat. Gemitaiz, MadMan)",Baby Gang,0TTDfFZQggxtYF3NDX0u0G,58,160851,1,6hv38luXAPIi4ieI63KfFb,2024-04-26,italian trap,italian trap
2024-04-28,16,Millionaire (feat. GuÃ¨),Baby Gang,5dm31mAc2ZAI8NCdoYEJxR,58,168375,1,3QBZ8MMQ5gXCftWLiMJRLg,2024-04-26,italian trap,italian trap
2024-05-05,25,Non C'Ã¨ Love,Capo Plaza,6SbD3zpxiqS9F4YHtaGEC1,57,167102,1,4mLp42UXbXFTMhAM4V1Kgz,2024-05-03,"italian trap, trap",italian trap
