date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,28,Mi Nena Remix,Maikel Delacalle & Quevedo,4GNMcZiHw1D65tLATm09rK,82,220000,0,44h2U2huy0NFGn5urk9Jfe,2023-03-23,"trap latino, latin r&b",trap latino
2023-05-18,29,Antes,"Rvfv, Edu García",1fGyuHEZApuDCnLwtYmTfn,79,153684,0,2rj3MJ2xl1NJK09lvNi50A,2023-03-10,"flamenco urbano, flamenco",flamenco urbano
2023-05-18,30,Hey Mor,Ozuna,1zsPaEkglFvxjAhrM8yhpr,91,196600,0,1kjfMVBNhsDeRyAu9zbLfF,2022-10-07,"reggaeton, trap latino, latin, urbano latino",reggaeton
2023-05-18,31,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2tTmW7RDtMQtBk7m2rYeSw,93,198937,0,4PNqWiJAfjj32hVvlchV5u,2022-07-06,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-18,32,CHORRITO PA LAS ANIMAS,Feid,0CYTGMBYkwUxrj1MWDLrC5,91,168133,1,31L7J7AO993tSBxAunoeoa,2022-12-02,"reggaeton, urbano latino",reggaeton
2023-05-18,33,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,4nrPB8O7Y7wsOCJdgXkthe,95,214945,0,1gi2iwr1l8IUyHYHxi01pg,2023-01-11,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-18,34,un x100to,Grupo Frontera & Bad Bunny,6pD0ufEQq0xdHSsRbg9LBK,99,194563,0,7aGzSSUD8S6IhPCsZSiuMT,2023-04-17,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2023-05-18,35,Polaris,Saiko,0EhuGnOS6fTc5l5UNtDEH2,78,192122,1,6S1YyhsGOkQZSwBJCevlfv,2022-08-26,unknown,unknown
2023-05-18,36,La Fiesta,Pedro Capó,2o6pi3nx1UAYxuBccabCMQ,71,201044,0,4jL4G1XbqAKQjp3irG9kl1,2022-12-02,"latin pop, latin",latin pop
2023-05-18,37,Cha Cha Cha,Käärijä,5RX8T3EoTuXcybAxe6oPAw,86,175161,0,5rBqeRlrrzR77MAkbgAmS6,2023-01-17,"finnish pop, europop",finnish pop
2023-05-18,38,Arranca (feat. Omega),Becky G & Omega,6IdcyYfBz9LG3SWIKVyNgh,82,166529,0,3d0XlD9jrpNetVgDfsErG4,2023-03-10,"reggaeton, latin",reggaeton
2023-05-18,39,Vagabundo,"Sebastian Yatra, Manuel Turizo, Beéle",1MB8kTH7VKvAMfL9SHgJmG,76,215600,0,0Rl1vI3oOOh3rylfBLiemc,2023-05-12,"colombian pop, reggaeton",colombian pop
2023-05-18,40,Andando,Morad,0yK1nUASmGNYKUH5qpXeOY,67,261713,1,6h5tdNdOnnFL6zbeMeeqdk,2023-05-12,unknown,unknown
2023-05-18,41,RÁPIDO,Mora,6peVAUzSxDlTigQw5T99O5,81,182857,1,2D5urBuawvNIrKdxO0X1pe,2023-04-27,"urbano latino, trap latino, reggaeton",urbano latino
2023-05-18,42,La Jumpa,"Arcángel, Bad Bunny",2mnXxnrX5vCGolNkaFvVeM,87,255693,1,2AvuFDqTlnxvYhyVaLU6NY,2022-12-01,"reggaeton, trap latino, urbano latino",reggaeton
2023-05-18,43,MEMORIAS,Mora,2hLXUbsOU9cDb9RFva9FYr,82,228750,0,0QLDQG7Jx78rEUDW03IhHC,2022-04-01,"urbano latino, trap latino, reggaeton",urbano latino
2023-05-18,44,Paz,Morad,5wFtUYK4cSjgVc760eLlcs,63,186000,0,6h5tdNdOnnFL6zbeMeeqdk,2023-05-12,unknown,unknown
2023-05-18,45,T'as peur,Aya Nakamura,35XF6veSvhoPdWy89zaeaj,70,215284,0,2sDLGR5LQ1pRmyCOT0alhN,2023-01-27,"french r&b, pop urbaine",french r&b
2023-05-18,46,MI DROGA,Myke Towers,5OYRVKWII0Eog7CjQRnmGf,81,163240,1,3puAvurwvtvi1rodndIPW8,2023-03-23,"reggaeton, trap latino, urbano latino",reggaeton
2023-05-18,47,No Estuviste En Lo Malo,Morad,3hQARI8XG01UawaCalyfjK,67,247680,0,6h5tdNdOnnFL6zbeMeeqdk,2023-05-12,unknown,unknown
2023-05-18,48,Flowers,Miley Cyrus,7DSAEUvxU8FajXtRloy8M0,91,200600,0,5DvJgsMLbaR1HmAI6VhfcQ,2023-03-10,unknown,unknown
2023-05-18,49,Las Bratz (Remix),Aissa & JC Reyes & Saiko,36W1V6ft4fX7HQVSdIYL0J,76,444631,1,6c5uQ7ApweOF7C9mw7Bvge,2023-03-08,unknown,unknown
2023-05-18,50,REMIX EXCLUSIVO,Feid,3eqCJfgJJs8iKx49KO12s3,88,206946,1,0K9klyLQafG164T9f7NKkS,2023-03-17,"reggaeton, urbano latino",reggaeton
2023-05-19,1,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,83,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-19,2,Supernova,Saiko,0zY2rypOdM8xmsf4tUyafF,84,190909,0,5jVewtOpycGENT1zZW4wpR,2023-04-19,unknown,unknown
2023-05-19,3,EL TONTO,Lola Indigo,4rKQ8daoK0aklVptea8A9E,83,187986,0,27fFLYwlXF1x8n1ixpFbFH,2023-04-13,unknown,unknown
2023-05-19,4,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-19,5,El Merengue,Marshmello & Manuel Turizo,51FvjPEGKq2zByeeEQ43V9,91,189668,0,6sU751LOdNBPvVErW1GunP,2023-03-03,edm,edm
2023-05-19,6,Mami Chula,Jhayco & Quevedo,1bvR3XjqaUkXJwrWm2cIXe,85,220600,0,67JIMv9vCB2ukBdEbtUmUG,2023-04-28,"reggaeton, trap latino, urbano latino",reggaeton
2023-05-19,7,Classy 101,Feid & Young Miko,1hZsWUnLbqRw09jLAMQSsb,95,195986,1,0lgs2Sa82lyX89nBUWyUy6,2023-03-31,"reggaeton, urbano latino",reggaeton
2023-05-19,8,Clavaito,Chanel & Abraham Mateo,26V1bLUk0SBYkLEwl4caPR,78,162740,0,04EvopsobNB5TNIzzAp0w0,2023-04-27,bachata,bachata
2023-05-19,9,TQG,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,96,197933,1,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,"reggaeton, latin, urbano latino",reggaeton
2023-05-19,10,Yandel 150,Yandel,2oiixB9QMIzhWaHGVlQx4g,90,216148,1,0T4sp7vn9arhvBUAda3foX,2023-01-13,"reggaeton, urbano latino, latin",reggaeton
2023-05-19,11,Nochentera,Vicco,20CozgjF6bshBw8cLhN23B,81,202184,0,4uCz8u5i2bIYVUOSRdtr6v,2022-12-19,unknown,unknown
2023-05-19,12,Todo Contigo,Álvaro De Luna,0FLh1ZDsjnoACzBrAVjXT2,78,165527,0,1KgKemleH5GeTmcUA7U9ka,2023-03-17,unknown,unknown
2023-05-19,13,Niña Bonita,"Feid, Sean Paul",4VPoFy002PwspvctfYP6zx,88,187653,0,16ScBmKm5WA3RwvTqiQlJd,2023-04-21,"reggaeton, urbano latino",reggaeton
