cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Chill/Relax,0.42495402298850576,0.5975086206896552,0.5221954022988505,115.57607471264369,0.3677620689655172,0.867816091954023,0.005423398390804596,174
1,Other,0.7282448377581121,0.12039156784660768,0.6354064896755163,123.03989675516225,0.529559587020649,1.0,0.005199737345132743,339
2,Sad/Emotional,0.5405454545454546,0.33573000000000003,0.6828181818181819,128.43381818181817,0.40190000000000003,0.5454545454545454,0.8003636363636364,11
3,Other,0.6857699695921149,0.17058855038969278,0.6550787396455909,120.86156300199224,0.5024622077173115,0.0,0.006743270704571656,255
