cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Other,0.7082258064516129,0.25174623225806453,0.7391483870967742,122.2419741935484,0.7013612903225807,1.0,0.0029869539999999996,155
1,Chill/Relax,0.5315348837209303,0.5190813953488372,0.6145348837209302,131.76181395348837,0.4369767441860465,0.5930232558139535,0.0005771927906976745,86
2,Other,0.7114098661028894,0.2294148500352361,0.7547404275311252,124.6830001174536,0.6960402654451492,0.0,0.002737831485083392,198
3,Chill/Relax,0.4856666666666667,0.427,0.665,124.55166666666668,0.4243333333333334,0.6666666666666666,0.7943333333333333,3
