cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Other,0.6781652664636018,0.21127950888526836,0.6932634790205662,122.06393092961204,0.5306669292342565,0.0,0.0056630412375622725,285
1,Chill/Relax,0.4193040935672515,0.6139491228070175,0.5216608187134503,113.70069590643274,0.3603228070175439,0.8245614035087719,0.006354336023391812,171
2,Other,0.7053514376996806,0.1453363322683706,0.6742683706070287,121.58398402555909,0.5354859424920128,1.0,0.0034865709904153344,313
3,Chill/Relax,0.4286666666666667,0.45006666666666667,0.6156666666666667,134.9851666666667,0.3385,0.5,0.816,6
