cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Other,0.7446973684210526,0.12502744999999998,0.4988815789473684,147.2838815789474,0.47207894736842104,0.9605263157894737,0.0024750255263157896,76
1,Other,0.8018518728004023,0.11491721517094017,0.6757455379587732,125.57532792860735,0.620996103569633,0.0,0.0011681932484916985,72
2,Other,0.742175,0.180848375,0.7104625,111.5902875,0.6892875,1.0,0.000491820875,80
3,Chill/Relax,0.517,0.826,0.712,157.038,0.686,1.0,0.8,1
