cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Other,0.688798969072165,0.13891948144329896,0.654930412371134,124.26782216494846,0.491004381443299,1.0,0.002915157242268041,388
1,Other,0.6636268358323721,0.20358630868479155,0.6818608007909046,123.56539958257814,0.4901699807766244,0.0,0.004880246310539894,315
2,Sad/Emotional,0.5082166666666666,0.3721567333333333,0.54675,128.80133333333333,0.28203333333333336,0.5833333333333334,0.7595833333333334,12
3,Chill/Relax,0.3837360406091371,0.6519329949238579,0.5281624365482234,115.98658883248731,0.37915177664974614,0.8578680203045685,0.006350775786802029,197
