cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Chill/Relax,0.5322232142857143,0.5266160714285715,0.5390714285714285,123.6250625,0.4347660714285714,0.7857142857142857,0.004874493928571429,112
1,Other,0.7134217252396166,0.1232268338658147,0.6846357827476038,119.3422268370607,0.5017977635782748,1.0,0.004140792779552715,313
2,Sad/Emotional,0.7054713818772996,0.17381199324377514,0.6744219525969026,116.83586251390435,0.4833868989475486,0.0,0.002368922442508766,377
3,Instrumental,0.6216,0.183718,0.674,131.58020000000002,0.5152,0.6,0.7722,5
