cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Other,0.6878336470125566,0.21964896844012471,0.7235658585915334,117.50550851147506,0.5935607769881177,0.0,0.0037522830988229974,194
1,Sad/Emotional,0.6096666666666667,0.21475,0.5975,115.62933333333335,0.45166666666666666,0.3333333333333333,0.7016666666666667,6
2,Other,0.5461818181818182,0.32057905681818183,0.5978522727272727,136.1046931818182,0.43668181818181817,0.8863636363636364,0.010095580795454544,88
3,Other,0.7352765957446808,0.19054,0.7456170212765957,108.68391489361703,0.7173191489361702,1.0,0.000770712340425532,94
