cluster,mood,energy,acousticness,danceability,tempo,valence,mode,instrumentalness,count
0,Chill/Relax,0.44694117647058823,0.5398857142857142,0.5432521008403361,116.68064705882352,0.35322268907563026,0.4369747899159664,0.0026865716806722686,119
1,Other,0.671437975263399,0.2659684387081997,0.7271442968392121,121.24131653687586,0.5981706550618415,0.0,0.006601554849289963,370
2,Other,0.6954216216216216,0.19926954054054055,0.7019351351351352,127.63068108108108,0.5585854054054055,1.0,0.005873404594594593,185
3,Chill/Relax,0.43524999999999997,0.5298875,0.629375,124.902375,0.25429999999999997,0.75,0.861125,8
